sepal_length,sepal_width,petal_length,petal_width,species,DRG
5.1,3.5,1.4,0.2,0,FakeDRG111
4.9,3.0,1.4,,0,FakeDRG111
4.7,,1.3,0.2,0,FakeDRG222
4.6,3.1,1.5,0.2,0,FakeDRG111
5.0,3.6,1.4,0.2,0,
5.4,3.9,1.7,0.4,0,FakeDRG111
4.6,3.4,1.4,0.3,0,FakeDRG111
5.0,3.4,1.5,0.2,0,FakeDRG111
4.4,2.9,1.4,0.2,0,FakeDRG111
4.9,3.1,1.5,0.1,0,FakeDRG111
5.4,3.7,1.5,0.2,0,FakeDRG111
4.8,3.4,1.6,0.2,0,FakeDRG111
4.8,3.0,1.4,0.1,0,FakeDRG111
4.3,3.0,1.1,0.1,0,FakeDRG111
5.8,4.0,1.2,0.2,0,FakeDRG111
5.7,4.4,1.5,0.4,0,FakeDRG111
5.4,3.9,1.3,0.4,0,FakeDRG111
5.1,3.5,1.4,0.3,0,FakeDRG111
5.7,3.8,1.7,0.3,0,FakeDRG111
5.1,3.8,1.5,0.3,0,FakeDRG111
,,,,0,
5.1,3.7,1.5,0.4,0,FakeDRG111
4.6,3.6,1.0,0.2,0,FakeDRG111
5.1,3.3,1.7,0.5,0,FakeDRG111
4.8,3.4,1.9,0.2,0,FakeDRG111
5.0,3.0,1.6,0.2,0,FakeDRG111
5.0,3.4,1.6,0.4,0,FakeDRG111
5.2,3.5,1.5,0.2,0,FakeDRG111
5.2,3.4,1.4,0.2,0,FakeDRG111
4.7,3.2,1.6,0.2,0,FakeDRG111
,,,,0,
5.4,3.4,1.5,0.4,0,FakeDRG111
5.2,4.1,1.5,0.1,0,FakeDRG111
5.5,4.2,1.4,0.2,0,FakeDRG111
4.9,3.1,1.5,0.1,0,FakeDRG111
5.0,3.2,1.2,0.2,0,FakeDRG111
5.5,3.5,1.3,0.2,0,FakeDRG111
4.9,3.1,1.5,0.1,0,FakeDRG111
4.4,3.0,1.3,0.2,0,FakeDRG111
5.1,3.4,1.5,0.2,0,FakeDRG111
,,,,0,
4.5,2.3,1.3,0.3,0,FakeDRG222
4.4,3.2,1.3,0.2,0,FakeDRG222
5.0,3.5,1.6,0.6,0,FakeDRG222
5.1,3.8,1.9,0.4,0,FakeDRG222
4.8,3.0,1.4,0.3,0,FakeDRG222
5.1,3.8,1.6,0.2,0,FakeDRG222
4.6,3.2,1.4,0.2,0,FakeDRG222
5.3,3.7,1.5,0.2,0,FakeDRG222
5.0,3.3,1.4,0.2,0,FakeDRG222
,,,,1,
6.4,3.2,4.5,1.5,1,FakeDRG222
6.9,3.1,4.9,1.5,1,FakeDRG222
5.5,2.3,4.0,1.3,1,FakeDRG222
6.5,2.8,4.6,1.5,1,FakeDRG222
5.7,2.8,4.5,1.3,1,FakeDRG222
6.3,3.3,4.7,1.6,1,FakeDRG333
4.9,2.4,3.3,1.0,1,FakeDRG333
6.6,2.9,4.6,1.3,1,FakeDRG333
5.2,2.7,3.9,1.4,1,FakeDRG333
,,,,0,
4.9,3.0,1.4,0.2,0,FakeDRG111
4.7,3.2,1.3,0.2,0,FakeDRG222
4.6,3.1,1.5,0.2,0,FakeDRG111
5.0,3.6,1.4,0.2,0,FakeDRG333
5.4,3.9,1.7,0.4,0,FakeDRG111
4.6,3.4,1.4,0.3,0,FakeDRG111
5.0,3.4,1.5,0.2,0,FakeDRG111
4.4,2.9,1.4,0.2,0,FakeDRG111
4.9,3.1,1.5,0.1,0,FakeDRG111
,,,,0,
4.8,3.4,1.6,0.2,0,FakeDRG111
4.8,3.0,1.4,0.1,0,FakeDRG111
4.3,3.0,1.1,0.1,0,FakeDRG111
5.8,4.0,1.2,0.2,0,FakeDRG111
5.7,4.4,1.5,0.4,0,FakeDRG111
5.4,3.9,1.3,0.4,0,FakeDRG111
5.1,3.5,1.4,0.3,0,FakeDRG111
5.7,3.8,1.7,0.3,0,FakeDRG111
5.1,3.8,1.5,0.3,0,FakeDRG111
,,,,0,
5.1,3.7,1.5,0.4,0,FakeDRG111
4.6,3.6,1.0,0.2,0,FakeDRG111
5.1,3.3,1.7,0.5,0,FakeDRG111
4.8,3.4,1.9,0.2,0,FakeDRG111
5.0,3.0,1.6,0.2,0,FakeDRG111
5.0,3.4,1.6,0.4,0,FakeDRG111
5.2,3.5,1.5,0.2,0,FakeDRG111
5.2,3.4,1.4,0.2,0,FakeDRG111
4.7,3.2,1.6,0.2,0,FakeDRG111
,,,,0,
5.4,3.4,1.5,0.4,0,FakeDRG111
5.2,4.1,1.5,0.1,0,FakeDRG111
5.5,4.2,1.4,0.2,0,FakeDRG111
4.9,3.1,1.5,0.1,0,FakeDRG111
5.0,3.2,1.2,0.2,0,FakeDRG111
5.5,3.5,1.3,0.2,0,FakeDRG111
4.9,3.1,1.5,0.1,0,FakeDRG111
4.4,3.0,1.3,0.2,0,FakeDRG111
5.1,3.4,1.5,0.2,0,FakeDRG111
,,,,0,
4.5,2.3,1.3,0.3,0,FakeDRG222
4.4,3.2,1.3,0.2,0,FakeDRG222
5.0,3.5,1.6,0.6,0,FakeDRG222
5.1,3.8,1.9,0.4,0,FakeDRG222
4.8,3.0,1.4,0.3,0,FakeDRG222
5.1,3.8,1.6,0.2,0,FakeDRG222
4.6,3.2,1.4,0.2,0,FakeDRG222
5.3,3.7,1.5,0.2,0,FakeDRG222
5.0,3.3,1.4,0.2,0,FakeDRG222
,,,,1,
6.4,3.2,4.5,1.5,1,FakeDRG222
6.9,3.1,4.9,1.5,1,FakeDRG222
5.5,2.3,4.0,1.3,1,FakeDRG222
6.5,2.8,4.6,1.5,1,FakeDRG222
5.7,2.8,4.5,1.3,1,FakeDRG222
6.3,3.3,4.7,1.6,1,FakeDRG333
4.9,2.4,3.3,1.0,1,FakeDRG333
6.6,2.9,4.6,1.3,1,FakeDRG333
5.2,2.7,3.9,1.4,1,FakeDRG333
